订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,2023/2/20 10:00,2023/2/20 12:10,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,2023/2/20 7:30,2023/2/20 10:00,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,2023/2/20 17:40,2023/2/20 19:30,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,2023/2/20 16:40,2023/2/20 18:30,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,2023/2/20 15:40,2023/2/20 17:00,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,2023/2/20 17:20,2023/2/20 19:00,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,2023/2/20 9:00,2023/2/20 11:20,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,2023/2/20 6:10,2023/2/20 8:20,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,2023/2/20 6:30,2023/2/20 9:00,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,2023/2/20 17:00,2023/2/20 19:10,0
11,2,118.20344490476252;24.855162956113734,117.84022996569875;24.885245635923653,1,2023/2/20 16:00,2023/2/20 18:30,0
12,1,118.15684461216841;24.49396521056207,117.63171011245018;24.122021633171087,1,2023/2/20 16:10,2023/2/20 18:20,0
13,2,118.12972774910124;24.60444596396337,117.21626656362277;24.209519965742913,3,2023/2/20 13:30,2023/2/20 15:10,0
14,2,118.13532299784251;24.7353077095567,117.21328141102542;24.475716173265344,3,2023/2/20 17:10,2023/2/20 19:00,0
15,1,118.13904715591485;24.433812177313992,117.32499955988132;23.804179019522046,2,2023/2/20 18:00,2023/2/20 20:20,0
16,2,118.12496347087763;24.590164642835262,117.78121661343302;23.975666967393,2,2023/2/20 7:30,2023/2/20 9:20,0
17,2,118.1883001468302;24.63372177716422,117.44646982280668;23.760091512669334,4,2023/2/20 19:20,2023/2/20 22:00,0
18,2,118.27911386965891;24.548076128020913,117.40531407480394;24.339376891466593,1,2023/2/20 8:00,2023/2/20 10:00,0
19,2,118.20501576164627;24.77832363082514,117.45228344796011;23.99204913145444,2,2023/2/20 15:00,2023/2/20 17:40,0
20,1,118.16863709339411;24.60783798896808,117.67047893990298;25.02584413385207,2,2023/2/20 12:20,2023/2/20 14:10,0
21,2,118.24328598744326;24.552733477964814,117.44192004433161;24.213791470110962,1,2023/2/20 18:20,2023/2/20 21:10,0
22,2,118.0154463483577;24.549216298634903,117.08638925077913;24.78132990971955,1,2023/2/20 10:00,2023/2/20 12:00,0
23,1,118.09217903228772;24.49673636200136,117.4560781896236;24.777150754438967,4,2023/2/20 18:30,2023/2/20 20:00,0
24,2,118.17517682538387;24.70789436649557,117.1213089795486;23.99504388245994,1,2023/2/20 7:00,2023/2/20 9:30,0
25,3,117.98378316076392;24.519328423918008,117.80085655169134;24.003792133395446,1,2023/2/20 13:30,2023/2/20 15:00,0
26,2,118.19570005643658;24.52100188969685,117.46881856231153;24.03744650196379,4,2023/2/20 11:40,2023/2/20 13:40,0
27,2,117.90848590152213;24.59746297889121,117.77393495356527;24.780160994131254,1,2023/2/20 14:00,2023/2/20 17:00,0
28,1,118.27381014277378;24.54137566471858,117.1972981032429;24.710246599044748,4,2023/2/20 7:20,2023/2/20 9:20,0
29,2,118.03960441230664;24.766551877464163,117.4508718277964;24.663206687819496,2,2023/2/20 18:00,2023/2/20 21:20,0
30,1,118.08034491723403;24.831486617753388,117.01477946177836;24.277775777713472,1,2023/2/20 9:00,2023/2/20 11:10,0
31,2,118.2925562184966;24.64852460436853,116.95377084966519;24.27219383695491,3,2023/2/20 18:20,2023/2/20 20:10,0
32,1,118.31032177157186;24.621664977099282,117.59646610833585;25.03382363391446,4,2023/2/20 15:30,2023/2/20 17:00,0
33,1,118.26891898720497;24.69676265347805,117.61053135355854;23.856531305855665,1,2023/2/20 9:40,2023/2/20 12:30,0
34,3,118.08588271813687;24.791554316698367,117.74645027732146;24.58639003484486,3,2023/2/20 6:30,2023/2/20 9:30,0
35,1,118.17877244148349;24.498939885499794,117.8728136205763;24.568081449260298,1,2023/2/20 13:20,2023/2/20 16:40,0
36,2,118.26503064910737;24.65398559173792,116.97174229353922;24.42323879779118,1,2023/2/20 15:40,2023/2/20 18:00,0
37,1,118.27892439038345;24.737536107963823,117.16515965555634;24.566459833307118,4,2023/2/20 11:00,2023/2/20 14:20,0
38,2,118.2015743482894;24.709340412729055,117.67797867136544;24.270749709181327,3,2023/2/20 13:10,2023/2/20 16:10,0
39,2,118.13458936483674;24.840559370466757,117.59308335843863;24.46064020321863,1,2023/2/20 14:00,2023/2/20 17:00,0
40,2,118.11708226494983;24.873479772835726,117.32491475456919;24.430836090644398,1,2023/2/20 18:30,2023/2/20 20:00,0
41,2,118.05226365012442;24.615681784871654,117.52461576905178;24.638185320926695,1,2023/2/20 17:30,2023/2/20 20:40,0
42,3,117.97780042636403;24.7560818336917,117.18866540177048;23.876124195813023,4,2023/2/20 6:20,2023/2/20 9:40,0
43,2,118.16100270257046;24.792111908462694,117.4529742803643;24.70210280806226,2,2023/2/20 15:10,2023/2/20 17:00,0
44,1,118.1153817191507;24.444513004974123,117.57772818147656;24.220957314179046,3,2023/2/20 10:30,2023/2/20 12:40,0
45,1,118.13363608869632;24.529039086788345,117.25484516629304;24.932614287243826,4,2023/2/20 14:40,2023/2/20 16:00,0
46,1,117.9776652801428;24.69542245373467,117.04999181867329;24.761725281407053,1,2023/2/20 6:00,2023/2/20 9:00,0
47,1,117.93674525436559;24.623365611402814,117.88790948438296;24.82266563274126,2,2023/2/20 14:10,2023/2/20 16:40,0
48,1,118.33464672569784;24.617700315166907,117.37057276123484;24.552730348792306,2,2023/2/20 11:40,2023/2/20 14:00,0
49,1,118.22038752024379;24.542955353824688,117.29643652830734;23.942476311721027,3,2023/2/20 12:00,2023/2/20 14:40,0
50,1,118.30740456574733;24.671130067182656,117.42882294225865;24.2390475939405,3,2023/2/20 7:40,2023/2/20 10:10,0
51,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,2023/2/20 18:40,2023/2/20 21:40,1
52,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,2023/2/20 19:20,2023/2/20 21:30,1
53,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,2023/2/20 18:00,2023/2/20 20:30,1
54,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,2023/2/20 17:30,2023/2/20 20:30,1
55,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,2023/2/20 8:30,2023/2/20 11:40,1
56,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,2023/2/20 12:00,2023/2/20 14:20,1
57,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,2023/2/20 11:10,2023/2/20 14:30,1
58,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,2023/2/20 13:00,2023/2/20 16:30,1
59,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,2023/2/20 13:00,2023/2/20 16:00,1
60,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,2023/2/20 9:00,2023/2/20 12:00,1
61,2,117.75470750103207;24.299301823336656,118.35742737213843;24.6704939284426,1,2023/2/20 6:00,2023/2/20 8:00,1
62,2,117.44304319001276;24.12825764425163,118.20767079639603;24.557690373000334,1,2023/2/20 10:20,2023/2/20 12:00,1
63,3,117.46476052796791;23.945532528121213,118.01114492585258;24.785769598114584,1,2023/2/20 13:20,2023/2/20 15:40,1
64,1,117.46335603483234;23.70808734349064,118.25325420184915;24.577524933990926,2,2023/2/20 11:30,2023/2/20 14:20,1
65,1,117.78904678670095;24.09094928656882,118.04103240562112;24.63089029570196,4,2023/2/20 7:00,2023/2/20 9:30,1
66,2,117.60367634006859;23.80437791834335,118.17996591571759;24.697277653952764,4,2023/2/20 17:40,2023/2/20 19:20,1
67,1,117.71209810198854;24.188186925316252,118.03552722166994;24.66650579059484,4,2023/2/20 8:40,2023/2/20 10:20,1
68,1,117.9121942253346;24.387979143888728,118.02684665655275;24.90022145438485,1,2023/2/20 16:10,2023/2/20 19:20,1
69,1,117.5581815947885;24.313744506953146,118.13112262095866;24.887384809014193,2,2023/2/20 15:00,2023/2/20 17:00,1
70,1,117.6646722303947;25.113345386749057,117.98045379139343;24.68157561936239,4,2023/2/20 11:00,2023/2/20 14:30,1
71,1,117.57584823924273;24.81837213390699,118.2576335749422;24.570473441165536,2,2023/2/20 14:30,2023/2/20 16:00,1
72,3,117.45985108225553;23.981481727768028,118.01010873171816;24.52256982141459,2,2023/2/20 8:30,2023/2/20 11:00,1
73,1,117.89271411026832;24.374961617673485,118.11717366649839;24.71920604093249,4,2023/2/20 18:20,2023/2/20 20:00,1
74,2,117.50934749530505;25.007309666789574,117.99117573074844;24.621686104337805,2,2023/2/20 10:10,2023/2/20 13:40,1
75,1,117.38285069212795;23.65282443206233,118.03659293067844;24.765431816704506,2,2023/2/20 19:00,2023/2/20 21:30,1
76,2,117.42135587317563;24.983337232180485,118.0329870636804;24.647951852065273,2,2023/2/20 17:20,2023/2/20 19:00,1
77,1,117.47530985021562;24.669888163811347,118.19715856557124;24.549886424928417,3,2023/2/20 15:00,2023/2/20 17:00,1
78,2,117.1489729609275;23.738581407544018,118.18273978466647;24.58012635769914,4,2023/2/20 13:20,2023/2/20 16:10,1
79,3,117.97914902427267;24.231254182072036,118.23679085899407;24.825284620014948,4,2023/2/20 13:00,2023/2/20 15:10,1
80,2,117.2061552569025;23.76528114756197,118.10142347069328;24.667764761659317,2,2023/2/20 15:20,2023/2/20 18:00,1
81,2,117.80041896825288;24.401567360436925,118.21171498983585;24.720190215085896,3,2023/2/20 6:00,2023/2/20 8:00,1
82,1,117.38736904540428;24.77583543994673,118.06227293152993;24.638830956624727,1,2023/2/20 15:00,2023/2/20 18:40,1
83,1,117.4583948669168;23.922265274574595,118.12716116320996;24.863411908443343,2,2023/2/20 12:30,2023/2/20 14:10,1
84,2,117.34030355304311;24.714190327237475,118.1611642882363;24.4396155949103,2,2023/2/20 10:00,2023/2/20 12:00,1
85,1,117.93103390576792;24.729419667697893,118.15497139038868;24.791016651056236,2,2023/2/20 8:20,2023/2/20 11:00,1
86,1,117.1109477409448;23.819662182434104,118.257105229325;24.65615776243608,4,2023/2/20 12:00,2023/2/20 15:00,1
87,1,117.3792595113963;24.281249616906578,118.17942421545808;24.532986318769403,2,2023/2/20 9:40,2023/2/20 12:30,1
88,2,117.23916269956409;24.211580956396535,118.06759685264812;24.570692759074312,1,2023/2/20 12:30,2023/2/20 15:10,1
89,1,117.71809448646499;24.27622099469845,118.12244356956924;24.486898414345355,2,2023/2/20 18:20,2023/2/20 20:10,1
90,3,117.89628978367095;24.318578737582854,118.19622401074315;24.62435779870681,1,2023/2/20 19:10,2023/2/20 22:00,1
91,2,117.73719086468174;24.224572700842895,118.05939078509714;24.702506132165748,3,2023/2/20 18:00,2023/2/20 21:00,1
92,1,117.47050557896328;24.480386983180452,118.17882717675684;24.483003926868456,2,2023/2/20 9:20,2023/2/20 12:10,1
93,2,117.62958234560539;24.45439884482236,118.16335178195281;24.652787864015764,3,2023/2/20 14:30,2023/2/20 16:20,1
94,2,118.04101255419718;24.272346491855124,118.08878591657607;24.579572913616648,2,2023/2/20 6:20,2023/2/20 9:00,1
95,1,116.95691171026354;24.333619875599453,118.18119361760444;24.55404449999228,1,2023/2/20 8:00,2023/2/20 10:20,1
96,1,117.27518111384612;24.83368140166752,117.94225366295657;24.549340764333053,3,2023/2/20 6:40,2023/2/20 9:10,1
97,3,117.83484768357069;24.30386763840631,118.1209754786019;24.858016517752933,4,2023/2/20 19:40,2023/2/20 22:10,1
98,2,117.78222127122544;24.72626710491461,118.24219259639175;24.751215380958076,1,2023/2/20 19:10,2023/2/20 22:00,1
99,2,117.32667930069869;24.44870568687046,118.07151265217;24.49755441687103,1,2023/2/20 9:40,2023/2/20 11:00,1
100,1,117.94345281728569;24.69804843092685,117.97844016765272;24.48676920425342,2,2023/2/20 6:00,2023/2/20 9:20,1
101,1,117.693637;24.52824,118.18522926967;24.509901606398,2,2023/2/20 7:20,2023/2/20 9:00,1
102,2,117.684811;24.512424,118.182606;24.495634,2,2023/2/20 8:40,2023/2/20 11:10,1
103,3,117.669991;24.528661,118.182606;24.495634,4,2023/2/20 13:00,2023/2/20 16:00,1
104,2,117.678913;24.516279,118.16725;24.491793,3,2023/2/20 10:40,2023/2/20 13:30,1
105,4,117.653827;24.519197,118.11000790788;24.4952953124,3,2023/2/20 10:40,2023/2/20 13:00,1
106,2,117.653827;24.519197,118.11000790788;24.4952953124,3,2023/2/20 11:40,2023/2/20 13:00,1
107,2,117.678178;24.523221,118.112696;24.533559,3,2023/2/20 15:00,2023/2/20 17:30,1
108,2,117.689955;24.524545,118.096457;24.448393,2,2023/2/20 16:30,2023/2/20 19:10,1
109,2,117.705381;24.510971,118.039564;24.490319,4,2023/2/20 16:30,2023/2/20 18:20,1
110,3,117.674388;24.508624,118.12499;24.522723,2,2023/2/20 13:10,2023/2/20 15:10,1
111,4,117.670683;24.506202,118.09049818121;24.463037798054,2,2023/2/20 11:00,2023/2/20 13:00,1
112,4,117.676667;24.528841,118.101806;24.47655,1,2023/2/20 14:00,2023/2/20 17:00,1
113,2,117.665722;24.522311,118.12763;24.487841,2,2023/2/20 18:40,2023/2/20 21:10,1
114,4,117.654187;24.537701,118.065654;24.499184,1,2023/2/20 14:00,2023/2/20 16:00,1
115,1,117.63587;24.544614,118.16020853539;24.498664190714,3,2023/2/20 16:20,2023/2/20 18:20,1
116,4,117.63587;24.544614,118.052359;24.486362,3,2023/2/20 18:20,2023/2/20 21:40,1
