订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,2023/2/20 10:00,2023/2/20 12:10,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,2023/2/20 7:30,2023/2/20 10:00,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,2023/2/20 17:40,2023/2/20 19:30,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,2023/2/20 16:40,2023/2/20 18:30,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,2023/2/20 15:40,2023/2/20 17:00,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,2023/2/20 17:20,2023/2/20 19:00,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,2023/2/20 9:00,2023/2/20 11:20,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,2023/2/20 6:10,2023/2/20 8:20,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,2023/2/20 6:30,2023/2/20 9:00,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,2023/2/20 17:00,2023/2/20 19:10,0
11,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,2023/2/20 18:40,2023/2/20 21:40,1
12,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,2023/2/20 19:20,2023/2/20 21:30,1
13,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,2023/2/20 18:00,2023/2/20 20:30,1
14,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,2023/2/20 17:30,2023/2/20 20:30,1
15,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,2023/2/20 8:30,2023/2/20 11:40,1
16,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,2023/2/20 12:00,2023/2/20 14:20,1
17,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,2023/2/20 11:10,2023/2/20 14:30,1
18,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,2023/2/20 13:00,2023/2/20 16:30,1
19,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,2023/2/20 13:00,2023/2/20 16:00,1
20,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,2023/2/20 9:00,2023/2/20 12:00,1
21,2,117.75470750103207;24.299301823336656,118.35742737213843;24.6704939284426,1,2023/2/20 6:00,2023/2/20 8:00,1
22,2,117.44304319001276;24.12825764425163,118.20767079639603;24.557690373000334,1,2023/2/20 10:20,2023/2/20 12:00,1
23,3,117.46476052796791;23.945532528121213,118.01114492585258;24.785769598114584,1,2023/2/20 13:20,2023/2/20 15:40,1
24,1,117.46335603483234;23.70808734349064,118.25325420184915;24.577524933990926,2,2023/2/20 11:30,2023/2/20 14:20,1
25,1,117.78904678670095;24.09094928656882,118.04103240562112;24.63089029570196,4,2023/2/20 7:00,2023/2/20 9:30,1
26,2,117.60367634006859;23.80437791834335,118.17996591571759;24.697277653952764,4,2023/2/20 17:40,2023/2/20 19:20,1
27,1,117.71209810198854;24.188186925316252,118.03552722166994;24.66650579059484,4,2023/2/20 8:40,2023/2/20 10:20,1
28,1,117.9121942253346;24.387979143888728,118.02684665655275;24.90022145438485,1,2023/2/20 16:10,2023/2/20 19:20,1
29,1,117.5581815947885;24.313744506953146,118.13112262095866;24.887384809014193,2,2023/2/20 15:00,2023/2/20 17:00,1
30,1,117.6646722303947;25.113345386749057,117.98045379139343;24.68157561936239,4,2023/2/20 11:00,2023/2/20 14:30,1
31,1,117.57584823924273;24.81837213390699,118.2576335749422;24.570473441165536,2,2023/2/20 14:30,2023/2/20 16:00,1
32,3,117.45985108225553;23.981481727768028,118.01010873171816;24.52256982141459,2,2023/2/20 8:30,2023/2/20 11:00,1
33,1,117.89271411026832;24.374961617673485,118.11717366649839;24.71920604093249,4,2023/2/20 18:20,2023/2/20 20:00,1
34,2,117.50934749530505;25.007309666789574,117.99117573074844;24.621686104337805,2,2023/2/20 10:10,2023/2/20 13:40,1
35,1,117.38285069212795;23.65282443206233,118.03659293067844;24.765431816704506,2,2023/2/20 19:00,2023/2/20 21:30,1
36,2,117.42135587317563;24.983337232180485,118.0329870636804;24.647951852065273,2,2023/2/20 17:20,2023/2/20 19:00,1
37,1,117.47530985021562;24.669888163811347,118.19715856557124;24.549886424928417,3,2023/2/20 15:00,2023/2/20 17:00,1
38,2,117.1489729609275;23.738581407544018,118.18273978466647;24.58012635769914,4,2023/2/20 13:20,2023/2/20 16:10,1
39,3,117.97914902427267;24.231254182072036,118.23679085899407;24.825284620014948,4,2023/2/20 13:00,2023/2/20 15:10,1
40,2,117.2061552569025;23.76528114756197,118.10142347069328;24.667764761659317,2,2023/2/20 15:20,2023/2/20 18:00,1
41,2,117.80041896825288;24.401567360436925,118.21171498983585;24.720190215085896,3,2023/2/20 6:00,2023/2/20 8:00,1
42,1,117.38736904540428;24.77583543994673,118.06227293152993;24.638830956624727,1,2023/2/20 15:00,2023/2/20 18:40,1
43,1,117.4583948669168;23.922265274574595,118.12716116320996;24.863411908443343,2,2023/2/20 12:30,2023/2/20 14:10,1
44,2,117.34030355304311;24.714190327237475,118.1611642882363;24.4396155949103,2,2023/2/20 10:00,2023/2/20 12:00,1
45,1,117.93103390576792;24.729419667697893,118.15497139038868;24.791016651056236,2,2023/2/20 8:20,2023/2/20 11:00,1
46,1,117.1109477409448;23.819662182434104,118.257105229325;24.65615776243608,4,2023/2/20 12:00,2023/2/20 15:00,1
47,1,117.3792595113963;24.281249616906578,118.17942421545808;24.532986318769403,2,2023/2/20 9:40,2023/2/20 12:30,1
48,2,117.23916269956409;24.211580956396535,118.06759685264812;24.570692759074312,1,2023/2/20 12:30,2023/2/20 15:10,1
49,1,117.71809448646499;24.27622099469845,118.12244356956924;24.486898414345355,2,2023/2/20 18:20,2023/2/20 20:10,1
50,3,117.89628978367095;24.318578737582854,118.19622401074315;24.62435779870681,1,2023/2/20 19:10,2023/2/20 22:00,1
51,2,117.73719086468174;24.224572700842895,118.05939078509714;24.702506132165748,3,2023/2/20 18:00,2023/2/20 21:00,1
52,1,117.47050557896328;24.480386983180452,118.17882717675684;24.483003926868456,2,2023/2/20 9:20,2023/2/20 12:10,1
53,2,117.62958234560539;24.45439884482236,118.16335178195281;24.652787864015764,3,2023/2/20 14:30,2023/2/20 16:20,1
54,2,118.04101255419718;24.272346491855124,118.08878591657607;24.579572913616648,2,2023/2/20 6:20,2023/2/20 9:00,1
55,1,116.95691171026354;24.333619875599453,118.18119361760444;24.55404449999228,1,2023/2/20 8:00,2023/2/20 10:20,1
56,1,117.27518111384612;24.83368140166752,117.94225366295657;24.549340764333053,3,2023/2/20 6:40,2023/2/20 9:10,1
57,3,117.83484768357069;24.30386763840631,118.1209754786019;24.858016517752933,4,2023/2/20 19:40,2023/2/20 22:10,1
58,2,117.78222127122544;24.72626710491461,118.24219259639175;24.751215380958076,1,2023/2/20 19:10,2023/2/20 22:00,1
59,2,117.32667930069869;24.44870568687046,118.07151265217;24.49755441687103,1,2023/2/20 9:40,2023/2/20 11:00,1
60,1,117.94345281728569;24.69804843092685,117.97844016765272;24.48676920425342,2,2023/2/20 6:00,2023/2/20 9:20,1
