订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,1,45;68,119;148,3,141,231,0
2,3,45;70,114;134,2,452,542,0
3,1,42;66,140;164,2,779,869,0
4,1,42;68,104;152,2,85,175,0
5,1,42;65,127;150,3,553,643,0
6,2,40;69,101;156,4,478,568,0
7,2,40;66,101;137,1,116,206,0
8,2,38;68,133;150,4,392,482,0
9,1,38;70,125;166,3,474,564,0
10,1,35;66,126;130,3,97,187,0
11,1,35;69,117;162,2,81,171,0
12,2,25;85,97;167,3,39,129,0
13,3,22;75,103;171,4,264,354,0
14,1,22;85,120;160,2,149,239,0
15,4,20;80,87;146,2,648,738,0
16,4,20;85,91;163,2,415,505,0
17,2,18;75,107;167,2,918,1008,0
18,2,15;75,102;154,3,16,106,0
19,1,15;80,110;154,2,63,153,0
20,1,30;50,113;121,4,69,159,0
21,2,92;125,30;52,2,87,177,1
22,2,121;136,28;52,2,126,216,1
23,1,109;146,28;55,1,41,131,1
24,1,98;138,25;50,3,204,294,1
25,4,112;116,25;52,3,450,540,1
26,1,107;152,25;55,4,32,122,1
27,1,120;131,23;52,2,143,233,1
28,2,86;136,23;55,3,806,896,1
29,1,89;128,20;50,4,816,906,1
30,1,116;150,20;55,3,51,141,1
31,2,100;97,10;35,3,95,185,1
32,3,78;126,10;40,2,76,166,1
33,4,68;122,8;40,2,97,187,1
34,2,92;113,8;45,4,124,214,1
35,1,71;100,5;35,4,63,153,1
36,1,75;114,5;45,3,37,127,1
37,2,72;130,2;40,2,105,195,1
38,3,66;121,0;40,4,559,649,1
39,2,93;133,0;45,2,62,152,1
40,1,124;113,35;30,1,67,157,1
41,1,99;126,35;32,2,513,603,1
42,2,129;92,33;32,3,361,451,1
43,1,99;111,33;35,3,123,213,1
44,1,103;118,32;30,2,132,222,1
45,1,114;129,30;30,2,97,187,1
46,3,116;95,30;32,3,50,140,1
47,1,107;113,30;35,4,274,364,1
48,1,126;92,28;30,4,55,145,1
49,1,97;116,28;35,4,647,737,1
50,1,119;127,26;32,2,917,1007,1
51,1,124;108,25;30,1,15,105,1
52,1,109;105,25;35,4,153,243,1
53,2,121;91,44;5,3,159,249,1
54,4,135;96,42;10,2,872,962,1
55,1,123;100,42;15,1,55,145,1
56,3,104;97,40;5,3,37,127,1
57,4,130;104,40;15,1,161,251,1
58,3,115;78,38;5,4,250,340,1
59,1,115;107,38;15,2,338,428,1
60,2,121;75,35;5,1,32,122,1
61,1,111;126,50;30,1,541,631,1
62,2,145;102,50;35,1,31,121,1
63,4,125;114,50;40,3,61,151,1
64,1,139;102,48;30,3,715,805,1
65,1,138;130,48;40,3,489,579,1
66,1,128;99,47;35,3,68,158,1
67,1,113;130,47;40,2,75,165,1
68,1,132;121,45;30,4,99,189,1
69,1,112;112,45;35,2,10,100,1
70,3,172;97,95;30,4,240,330,1
71,2,188;118,95;35,4,157,247,1
72,1,138;119,53;30,2,132,222,1
73,1,161;128,92;30,4,599,689,1
74,4,134;123,53;35,3,172,262,1
75,2,127;151,45;65,4,739,829,1
76,1,176;125,90;35,4,571,661,1
77,1,161;98,88;30,1,124,214,1
78,2,168;126,88;35,4,108,198,1
79,1,149;105,87;30,1,172,262,1
80,1,155;124,85;25,4,71,161,1
81,3,169;112,85;35,3,44,134,1
82,2,163;118,75;55,4,117,207,1
83,1,167;116,72;55,4,172,262,1
84,2,132;148,70;58,1,365,455,1
85,3,139;156,68;60,2,50,140,1
86,1,140;135,66;55,4,703,793,1
87,2,161;136,65;55,2,890,980,1
88,3,153;159,65;60,2,34,124,1
89,1,151;122,63;58,1,83,173,1
90,1,121;129,60;55,2,117,207,1
91,1,133;159,60;60,3,365,455,1
92,2,145;163,67;85,4,30,120,1
93,4,145;173,65;85,2,42,132,1
94,1,132;169,65;82,2,172,262,1
95,3,130;153,62;80,1,612,702,1
96,1,128;143,60;80,4,165,255,1
97,3,127;166,60;85,2,19,109,1
98,2,148;152,58;75,3,31,121,1
99,1,128;174,55;80,4,134,224,1
100,2,128;176,55;85,1,251,341,1
