订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,1,41;49,115;129,3,890,980,0
2,1,35;17,104;81,2,816,906,0
3,2,55;45,153;143,2,55,145,0
4,2,55;20,117;104,2,703,793,0
5,3,15;30,100;115,3,15,105,0
6,1,25;30,86;117,4,559,649,0
7,1,20;50,81;121,1,172,262,0
8,1,10;43,105;125,4,250,340,0
9,2,55;60,142;156,3,489,579,0
10,2,30;60,121;124,3,361,451,0
11,2,20;65,102;158,2,450,540,0
12,2,50;35,122;117,3,647,737,0
13,3,30;25,111;121,4,30,120,0
14,2,15;10,113;85,2,571,661,0
15,1,30;5,97;71,2,392,482,0
16,2,10;20,81;98,2,478,568,0
17,1,5;30,94;122,2,105,195,0
18,2,20;40,107;119,3,172,262,0
19,2,15;60,110;134,2,274,364,0
20,1,45;65,128;136,4,10,100,0
21,2,45;20,107;93,2,918,1008,0
22,2,45;10,138;94,2,806,896,0
23,3,55;5,136;96,1,739,829,0
24,1,65;35,138;123,3,55,145,0
25,1,65;20,152;84,3,172,262,0
26,2,45;30,127;127,4,612,702,0
27,2,35;40,132;119,2,264,354,0
28,2,41;37,104;118,3,553,643,0
29,1,64;42,133;120,4,365,455,0
30,3,40;60,136;155,3,452,542,0
31,3,31;52,121;114,3,204,294,0
32,3,35;69,103;155,2,31,121,0
33,2,53;52,113;134,2,42,132,0
34,2,65;55,149;123,4,715,805,0
35,1,63;65,129;130,4,251,341,0
36,1,2;60,72;129,3,648,738,0
37,1,20;20,90;110,2,365,455,0
38,2,5;5,71;86,4,474,564,0
39,4,60;12,153;100,2,541,631,0
40,1,40;25,129;108,1,240,330,0
41,1,42;7,106;101,2,123,213,0
42,1,24;12,120;72,3,19,109,0
43,1,23;3,89;79,3,16,106,0
44,2,11;14,82;102,2,338,428,0
45,2,6;38,90;137,2,513,603,0
46,1,2;48,88;111,3,415,505,0
47,3,8;56,85;134,4,872,962,0
48,4,13;52,111;114,4,599,689,0
49,3,6;68,75;149,4,917,1007,0
50,2,47;47,140;142,2,779,869,0
51,2,148;136,49;58,1,695,785,1
52,1,111;113,27;43,4,857,947,1
53,2,114;117,37;31,3,221,311,1
54,2,150;115,57;29,2,96,186,1
55,1,144;108,63;23,1,35,125,1
56,1,117;104,53;12,3,347,437,1
57,1,122;101,32;12,1,35,125,1
58,2,113;99,36;26,4,403,493,1
59,3,98;116,21;24,2,521,611,1
60,1,103;104,17;34,1,487,577,1
61,2,73;120,12;24,1,422,512,1
62,2,119;125,24;58,1,217,307,1
63,2,102;143,27;69,3,142,232,1
64,1,106;149,15;77,3,567,657,1
65,2,152;167,62;77,3,34,124,1
66,3,130;137,49;73,3,794,884,1
67,3,133;95,67;5,2,12,102,1
68,4,143;130,56;39,4,716,806,1
69,1,104;124,37;47,2,873,963,1
70,1,114;123,37;56,4,266,356,1
71,2,150;151,57;68,4,181,271,1
72,3,132;105,47;16,2,402,492,1
73,1,113;115,44;17,4,345,435,1
74,1,127;101,46;13,3,294,384,1
75,2,131;97,49;11,4,951,1041,1
76,2,135;132,49;42,4,153,243,1
77,2,126;111,53;43,1,450,540,1
78,1,141;143,61;52,4,50,140,1
79,3,119;123,57;48,1,567,657,1
80,1,126;136,56;37,4,713,803,1
81,3,139;131,55;54,3,47,137,1
82,2,103;110,15;47,4,311,401,1
83,2,109;98,14;37,4,127,217,1
84,1,73;121,11;31,1,349,439,1
85,4,87;118,16;22,2,476,566,1
86,4,78;98,4;18,4,67,157,1
87,3,124;99,28;18,2,25,115,1
88,1,114;151,26;52,2,546,636,1
89,2,114;99,26;35,1,630,720,1
90,1,92;141,31;67,2,20,110,1
91,1,88;118,15;19,3,769,859,1
92,1,100;100,22;22,4,229,319,1
93,3,98;112,18;24,2,442,532,1
94,3,93;114,26;27,2,227,317,1
95,2,93;97,25;24,1,163,253,1
96,2,90;90,22;27,4,36,126,1
97,2,92;102,25;21,2,469,559,1
98,1,109;98,19;21,3,30,120,1
99,1,93;120,20;26,4,595,685,1
100,2,107;94,18;18,1,493,583,1
