订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,25;85,99;165,3,161,251,0
2,3,22;75,91;139,2,50,140,0
3,1,22;85,120;183,2,116,206,0
4,4,20;80,82;164,2,149,239,0
5,2,20;85,105;170,3,34,124,0
6,2,18;75,79;162,4,99,189,0
7,2,15;75,76;146,1,81,171,0
8,1,15;80,110;162,4,95,185,0
9,2,10;35,97;131,3,97,187,0
10,3,10;40,101;104,3,124,214,0
11,4,8;40,90;133,2,67,157,0
12,2,8;45,80;127,3,63,153,0
13,1,5;35,86;131,4,159,249,0
14,1,5;45,103;120,2,32,122,0
15,2,2;40,69;106,2,61,151,0
16,2,0;40,71;118,2,75,165,0
17,2,0;45,89;137,2,157,247,0
18,2,44;5,131;84,3,87,177,0
19,4,42;10,137;84,2,76,166,0
20,1,42;15,125;86,4,126,216,0
21,1,40;5,102;78,2,62,152,0
22,4,40;15,133;99,2,97,187,0
23,3,38;5,119;96,1,68,158,0
24,1,38;15,111;103,3,153,243,0
25,2,35;5,122;69,3,172,262,0
26,3,95;30,177;127,4,132,222,0
27,2,95;35,192;114,2,37,127,0
28,1,92;30,155;111,3,39,129,0
29,1,90;35,159;113,4,63,153,0
30,1,88;30,184;125,3,71,161,0
31,2,88;35,178;97,3,50,140,0
32,1,87;30,155;116,2,141,231,0
33,1,85;25,145;107,2,37,127,0
34,3,85;35,169;103,4,117,207,0
35,2,67;85,133;150,4,143,233,0
36,4,65;85,135;154,3,41,131,0
37,1,65;82,135;172,2,134,224,0
38,3,62;80,128;161,4,83,173,0
39,1,60;80,153;168,2,44,134,0
40,3,60;85,149;168,1,85,175,0
41,2,122;169,58;75,2,97,187,1
42,1,151;140,55;80,3,31,121,1
43,2,121;161,55;85,3,132,222,1
44,1,126;170,55;82,2,69,159,1
45,1,104;181,20;82,2,32,122,1
46,1,104;143,18;80,3,117,207,1
47,1,79;123,2;45,4,51,141,1
48,1,140;67,42;5,4,165,255,1
49,1,111;93,42;12,4,108,198,1
50,3,165;130,72;35,2,124,214,1
51,2,154;98,55;20,1,88,178,1
52,1,109;100,25;30,4,52,142,1
53,1,97;136,20;50,3,95,185,1
54,2,148;146,55;60,2,140,230,1
55,2,111;145,30;60,1,136,226,1
56,2,114;127,50;35,3,130,220,1
57,3,120;114,30;25,1,101,191,1
58,2,92;83,15;10,4,200,290,1
59,2,87;112,10;20,2,18,108,1
60,2,101;130,15;60,1,162,252,1
61,1,106;161,45;65,1,76,166,1
62,1,160;102,65;35,1,58,148,1
63,1,140;94,65;20,3,34,124,1
64,2,136;102,45;30,3,73,163,1
65,2,125;130,35;40,3,51,141,1
66,2,122;101,41;37,3,127,217,1
67,1,130;132,64;42,2,83,173,1
68,3,127;151,40;60,4,142,232,1
69,3,98;129,31;52,2,50,140,1
70,3,112;136,35;69,4,182,272,1
71,2,158;138,65;55,4,77,167,1
72,1,148;154,63;65,2,35,125,1
73,1,71;158,2;60,4,78,168,1
74,2,101;108,20;20,3,149,239,1
75,2,87;91,5;5,4,69,159,1
76,4,146;102,60;12,4,73,163,1
77,1,96;71,23;3,1,179,269,1
78,3,88;147,8;56,4,96,186,1
79,3,68;143,6;68,1,92,182,1
80,2,117;146,47;47,4,182,272,1
81,1,133;135,49;58,3,94,184,1
82,1,115;106,27;43,4,55,145,1
83,2,132;92,37;31,4,44,134,1
84,2,119;119,57;29,1,101,191,1
85,1,134;119,63;23,2,91,181,1
86,3,95;104,21;24,4,94,184,1
87,2,108;105,12;24,2,93,183,1
88,2,112;157,24;58,2,74,164,1
89,3,155;69,67;5,1,176,266,1
90,1,98;121,37;47,2,95,185,1
91,2,122;141,49;42,3,160,250,1
92,2,131;121,53;43,4,18,108,1
93,1,141;140,61;52,2,188,278,1
94,3,124;135,57;48,2,100,190,1
95,1,124;110,56;37,1,39,129,1
96,3,123;117,55;54,4,135,225,1
97,4,71;99,4;18,2,133,223,1
98,1,116;129,26;52,3,58,148,1
99,2,99;129,26;35,4,83,173,1
100,1,120;143,31;67,1,185,275,1
