订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,25;85,99;165,3,890,980,0
2,3,22;75,91;139,2,816,906,0
3,1,22;85,120;183,2,55,145,0
4,4,20;80,82;164,2,703,793,0
5,2,20;85,105;170,3,15,105,0
6,2,18;75,79;162,4,559,649,0
7,2,15;75,76;146,1,172,262,0
8,1,15;80,110;162,4,250,340,0
9,2,10;35,97;131,3,489,579,0
10,3,10;40,101;104,3,361,451,0
11,4,8;40,90;133,2,450,540,0
12,2,8;45,80;127,3,647,737,0
13,1,5;35,86;131,4,30,120,0
14,1,5;45,103;120,2,571,661,0
15,2,2;40,69;106,2,392,482,0
16,2,0;40,71;118,2,478,568,0
17,2,0;45,89;137,2,105,195,0
18,2,44;5,131;84,3,172,262,0
19,4,42;10,137;84,2,274,364,0
20,1,42;15,125;86,4,10,100,0
21,1,40;5,102;78,2,918,1008,0
22,4,40;15,133;99,2,806,896,0
23,3,38;5,119;96,1,739,829,0
24,1,38;15,111;103,3,55,145,0
25,2,35;5,122;69,3,172,262,0
26,3,95;30,177;127,4,612,702,0
27,2,95;35,192;114,2,264,354,0
28,1,92;30,155;111,3,553,643,0
29,1,90;35,159;113,4,365,455,0
30,1,88;30,184;125,3,452,542,0
31,2,88;35,178;97,3,204,294,0
32,1,87;30,155;116,2,31,121,0
33,1,85;25,145;107,2,42,132,0
34,3,85;35,169;103,4,715,805,0
35,2,67;85,133;150,4,251,341,0
36,4,65;85,135;154,3,648,738,0
37,1,65;82,135;172,2,365,455,0
38,3,62;80,128;161,4,474,564,0
39,1,60;80,153;168,2,541,631,0
40,3,60;85,149;168,1,240,330,0
41,2,122;169,58;75,2,123,213,1
42,1,151;140,55;80,3,19,109,1
43,2,121;161,55;85,3,16,106,1
44,1,126;170,55;82,2,338,428,1
45,1,104;181,20;82,2,513,603,1
46,1,104;143,18;80,3,415,505,1
47,1,79;123,2;45,4,872,962,1
48,1,140;67,42;5,4,599,689,1
49,1,111;93,42;12,4,917,1007,1
50,3,165;130,72;35,2,779,869,1
51,2,154;98,55;20,1,695,785,1
52,1,109;100,25;30,4,857,947,1
53,1,97;136,20;50,3,221,311,1
54,2,148;146,55;60,2,96,186,1
55,2,111;145,30;60,1,35,125,1
56,2,114;127,50;35,3,347,437,1
57,3,120;114,30;25,1,35,125,1
58,2,92;83,15;10,4,403,493,1
59,2,87;112,10;20,2,521,611,1
60,2,101;130,15;60,1,487,577,1
61,1,106;161,45;65,1,422,512,1
62,1,160;102,65;35,1,217,307,1
63,1,140;94,65;20,3,142,232,1
64,2,136;102,45;30,3,567,657,1
65,2,125;130,35;40,3,34,124,1
66,2,122;101,41;37,3,794,884,1
67,1,130;132,64;42,2,12,102,1
68,3,127;151,40;60,4,716,806,1
69,3,98;129,31;52,2,873,963,1
70,3,112;136,35;69,4,266,356,1
71,2,158;138,65;55,4,181,271,1
72,1,148;154,63;65,2,402,492,1
73,1,71;158,2;60,4,345,435,1
74,2,101;108,20;20,3,294,384,1
75,2,87;91,5;5,4,951,1041,1
76,4,146;102,60;12,4,153,243,1
77,1,96;71,23;3,1,450,540,1
78,3,88;147,8;56,4,50,140,1
79,3,68;143,6;68,1,567,657,1
80,2,117;146,47;47,4,713,803,1
81,1,133;135,49;58,3,47,137,1
82,1,115;106,27;43,4,311,401,1
83,2,132;92,37;31,4,127,217,1
84,2,119;119,57;29,1,349,439,1
85,1,134;119,63;23,2,476,566,1
86,3,95;104,21;24,4,67,157,1
87,2,108;105,12;24,2,25,115,1
88,2,112;157,24;58,2,546,636,1
89,3,155;69,67;5,1,630,720,1
90,1,98;121,37;47,2,20,110,1
91,2,122;141,49;42,3,769,859,1
92,2,131;121,53;43,4,229,319,1
93,1,141;140,61;52,2,442,532,1
94,3,124;135,57;48,2,227,317,1
95,1,124;110,56;37,1,163,253,1
96,3,123;117,55;54,4,36,126,1
97,4,71;99,4;18,2,469,559,1
98,1,116;129,26;52,3,30,120,1
99,2,99;129,26;35,4,595,685,1
100,1,120;143,31;67,1,493,583,1
