订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,25;85,99;165,3,141,231,0
2,3,22;75,91;139,2,452,542,0
3,1,22;85,120;183,2,779,869,0
4,4,20;80,82;164,2,85,175,0
5,2,20;85,105;170,3,553,643,0
6,2,18;75,79;162,4,478,568,0
7,2,15;75,76;146,1,116,206,0
8,1,15;80,110;162,4,392,482,0
9,2,10;35,97;131,3,474,564,0
10,3,10;40,101;104,3,97,187,0
11,4,8;40,90;133,2,81,171,0
12,2,8;45,80;127,3,39,129,0
13,1,5;35,86;131,4,264,354,0
14,1,5;45,103;120,2,149,239,0
15,2,2;40,69;106,2,648,738,0
16,2,0;40,71;118,2,415,505,0
17,2,0;45,89;137,2,918,1008,0
18,2,44;5,131;84,3,16,106,0
19,4,42;10,137;84,2,63,153,0
20,1,42;15,125;86,4,69,159,0
21,1,40;5,102;78,2,87,177,0
22,4,40;15,133;99,2,126,216,0
23,3,38;5,119;96,1,41,131,0
24,1,38;15,111;103,3,204,294,0
25,2,35;5,122;69,3,450,540,0
26,3,95;30,177;127,4,32,122,0
27,2,95;35,192;114,2,143,233,0
28,1,92;30,155;111,3,806,896,0
29,1,90;35,159;113,4,816,906,0
30,1,88;30,184;125,3,51,141,0
31,2,88;35,178;97,3,95,185,0
32,1,87;30,155;116,2,76,166,0
33,1,85;25,145;107,2,97,187,0
34,3,85;35,169;103,4,124,214,0
35,2,67;85,133;150,4,63,153,0
36,4,65;85,135;154,3,37,127,0
37,1,65;82,135;172,2,105,195,0
38,3,62;80,128;161,4,559,649,0
39,1,60;80,153;168,2,62,152,0
40,3,60;85,149;168,1,67,157,0
41,2,58;75,122;169,2,513,603,0
42,1,55;80,151;140,3,361,451,0
43,2,55;85,121;161,3,123,213,0
44,1,55;82,126;170,2,132,222,0
45,1,20;82,104;181,2,97,187,0
46,1,18;80,104;143,3,50,140,0
47,1,2;45,79;123,4,274,364,0
48,1,42;5,140;67,4,55,145,0
49,1,42;12,111;93,4,647,737,0
50,3,72;35,165;130,2,917,1007,0
51,2,154;98,55;20,1,15,105,1
52,1,109;100,25;30,4,153,243,1
53,1,97;136,20;50,3,159,249,1
54,2,148;146,55;60,2,872,962,1
55,2,111;145,30;60,1,55,145,1
56,2,114;127,50;35,3,37,127,1
57,3,120;114,30;25,1,161,251,1
58,2,92;83,15;10,4,250,340,1
59,2,87;112,10;20,2,338,428,1
60,2,101;130,15;60,1,32,122,1
61,1,106;161,45;65,1,541,631,1
62,1,160;102,65;35,1,31,121,1
63,1,140;94,65;20,3,61,151,1
64,2,136;102,45;30,3,715,805,1
65,2,125;130,35;40,3,489,579,1
66,2,122;101,41;37,3,68,158,1
67,1,130;132,64;42,2,75,165,1
68,3,127;151,40;60,4,99,189,1
69,3,98;129,31;52,2,10,100,1
70,3,112;136,35;69,4,240,330,1
71,2,158;138,65;55,4,157,247,1
72,1,148;154,63;65,2,132,222,1
73,1,71;158,2;60,4,599,689,1
74,2,101;108,20;20,3,172,262,1
75,2,87;91,5;5,4,739,829,1
76,4,146;102,60;12,4,571,661,1
77,1,96;71,23;3,1,124,214,1
78,3,88;147,8;56,4,108,198,1
79,3,68;143,6;68,1,172,262,1
80,2,117;146,47;47,4,71,161,1
81,1,133;135,49;58,3,44,134,1
82,1,115;106,27;43,4,117,207,1
83,2,132;92,37;31,4,172,262,1
84,2,119;119,57;29,1,365,455,1
85,1,134;119,63;23,2,50,140,1
86,3,95;104,21;24,4,703,793,1
87,2,108;105,12;24,2,890,980,1
88,2,112;157,24;58,2,34,124,1
89,3,155;69,67;5,1,83,173,1
90,1,98;121,37;47,2,117,207,1
91,2,122;141,49;42,3,365,455,1
92,2,131;121,53;43,4,30,120,1
93,1,141;140,61;52,2,42,132,1
94,3,124;135,57;48,2,172,262,1
95,1,124;110,56;37,1,612,702,1
96,3,123;117,55;54,4,165,255,1
97,4,71;99,4;18,2,19,109,1
98,1,116;129,26;52,3,31,121,1
99,2,99;129,26;35,4,134,224,1
100,1,120;143,31;67,1,251,341,1
