订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,2023/2/20 10:00,2023/2/20 12:10,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,2023/2/20 7:30,2023/2/20 10:00,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,2023/2/20 17:40,2023/2/20 19:30,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,2023/2/20 16:40,2023/2/20 18:30,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,2023/2/20 15:40,2023/2/20 17:00,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,2023/2/20 17:20,2023/2/20 19:00,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,2023/2/20 9:00,2023/2/20 11:20,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,2023/2/20 6:10,2023/2/20 8:20,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,2023/2/20 6:30,2023/2/20 9:00,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,2023/2/20 17:00,2023/2/20 19:10,0
11,2,118.20344490476252;24.855162956113734,117.84022996569875;24.885245635923653,1,2023/2/20 16:00,2023/2/20 18:30,0
12,1,118.15684461216841;24.49396521056207,117.63171011245018;24.122021633171087,1,2023/2/20 16:10,2023/2/20 18:20,0
13,2,118.12972774910124;24.60444596396337,117.21626656362277;24.209519965742913,3,2023/2/20 13:30,2023/2/20 15:10,0
14,2,118.13532299784251;24.7353077095567,117.21328141102542;24.475716173265344,3,2023/2/20 17:10,2023/2/20 19:00,0
15,1,118.13904715591485;24.433812177313992,117.32499955988132;23.804179019522046,2,2023/2/20 18:00,2023/2/20 20:20,0
16,2,118.12496347087763;24.590164642835262,117.78121661343302;23.975666967393,2,2023/2/20 7:30,2023/2/20 9:20,0
17,2,118.1883001468302;24.63372177716422,117.44646982280668;23.760091512669334,4,2023/2/20 19:20,2023/2/20 22:00,0
18,2,118.27911386965891;24.548076128020913,117.40531407480394;24.339376891466593,1,2023/2/20 8:00,2023/2/20 10:00,0
19,2,118.20501576164627;24.77832363082514,117.45228344796011;23.99204913145444,2,2023/2/20 15:00,2023/2/20 17:40,0
20,1,118.16863709339411;24.60783798896808,117.67047893990298;25.02584413385207,2,2023/2/20 12:20,2023/2/20 14:10,0
21,2,118.24328598744326;24.552733477964814,117.44192004433161;24.213791470110962,1,2023/2/20 18:20,2023/2/20 21:10,0
22,2,118.0154463483577;24.549216298634903,117.08638925077913;24.78132990971955,1,2023/2/20 10:00,2023/2/20 12:00,0
23,1,118.09217903228772;24.49673636200136,117.4560781896236;24.777150754438967,4,2023/2/20 18:30,2023/2/20 20:00,0
24,2,118.17517682538387;24.70789436649557,117.1213089795486;23.99504388245994,1,2023/2/20 7:00,2023/2/20 9:30,0
25,3,117.98378316076392;24.519328423918008,117.80085655169134;24.003792133395446,1,2023/2/20 13:30,2023/2/20 15:00,0
26,2,118.19570005643658;24.52100188969685,117.46881856231153;24.03744650196379,4,2023/2/20 11:40,2023/2/20 13:40,0
27,2,117.90848590152213;24.59746297889121,117.77393495356527;24.780160994131254,1,2023/2/20 14:00,2023/2/20 17:00,0
28,1,118.27381014277378;24.54137566471858,117.1972981032429;24.710246599044748,4,2023/2/20 7:20,2023/2/20 9:20,0
29,2,118.03960441230664;24.766551877464163,117.4508718277964;24.663206687819496,2,2023/2/20 18:00,2023/2/20 21:20,0
30,1,118.08034491723403;24.831486617753388,117.01477946177836;24.277775777713472,1,2023/2/20 9:00,2023/2/20 11:10,0
31,2,118.2925562184966;24.64852460436853,116.95377084966519;24.27219383695491,3,2023/2/20 18:20,2023/2/20 20:10,0
32,1,118.31032177157186;24.621664977099282,117.59646610833585;25.03382363391446,4,2023/2/20 15:30,2023/2/20 17:00,0
33,1,118.26891898720497;24.69676265347805,117.61053135355854;23.856531305855665,1,2023/2/20 9:40,2023/2/20 12:30,0
34,3,118.08588271813687;24.791554316698367,117.74645027732146;24.58639003484486,3,2023/2/20 6:30,2023/2/20 9:30,0
35,1,118.17877244148349;24.498939885499794,117.8728136205763;24.568081449260298,1,2023/2/20 13:20,2023/2/20 16:40,0
36,2,118.26503064910737;24.65398559173792,116.97174229353922;24.42323879779118,1,2023/2/20 15:40,2023/2/20 18:00,0
37,1,118.27892439038345;24.737536107963823,117.16515965555634;24.566459833307118,4,2023/2/20 11:00,2023/2/20 14:20,0
38,2,118.2015743482894;24.709340412729055,117.67797867136544;24.270749709181327,3,2023/2/20 13:10,2023/2/20 16:10,0
39,2,118.13458936483674;24.840559370466757,117.59308335843863;24.46064020321863,1,2023/2/20 14:00,2023/2/20 17:00,0
40,2,118.11708226494983;24.873479772835726,117.32491475456919;24.430836090644398,1,2023/2/20 18:30,2023/2/20 20:00,0
41,2,118.05226365012442;24.615681784871654,117.52461576905178;24.638185320926695,1,2023/2/20 17:30,2023/2/20 20:40,0
42,3,117.97780042636403;24.7560818336917,117.18866540177048;23.876124195813023,4,2023/2/20 6:20,2023/2/20 9:40,0
43,2,118.16100270257046;24.792111908462694,117.4529742803643;24.70210280806226,2,2023/2/20 15:10,2023/2/20 17:00,0
44,1,118.1153817191507;24.444513004974123,117.57772818147656;24.220957314179046,3,2023/2/20 10:30,2023/2/20 12:40,0
45,1,118.13363608869632;24.529039086788345,117.25484516629304;24.932614287243826,4,2023/2/20 14:40,2023/2/20 16:00,0
46,1,117.9776652801428;24.69542245373467,117.04999181867329;24.761725281407053,1,2023/2/20 6:00,2023/2/20 9:00,0
47,1,117.93674525436559;24.623365611402814,117.88790948438296;24.82266563274126,2,2023/2/20 14:10,2023/2/20 16:40,0
48,1,118.33464672569784;24.617700315166907,117.37057276123484;24.552730348792306,2,2023/2/20 11:40,2023/2/20 14:00,0
49,1,118.22038752024379;24.542955353824688,117.29643652830734;23.942476311721027,3,2023/2/20 12:00,2023/2/20 14:40,0
50,1,118.30740456574733;24.671130067182656,117.42882294225865;24.2390475939405,3,2023/2/20 7:40,2023/2/20 10:10,0
51,2,118.173042;24.494727,117.678899;24.515901,3,2023/2/20 15:20,2023/2/20 17:00,0
52,2,118.149764;24.501378,117.68437889976;24.503320892701,4,2023/2/20 7:20,2023/2/20 10:00,0
53,2,118.122817;24.476115,117.684146;24.503435,1,2023/2/20 13:00,2023/2/20 16:30,0
54,2,118.1536644891;24.529376067052,117.66154;24.518553,3,2023/2/20 6:20,2023/2/20 9:00,0
55,1,118.051922;24.502317,117.69036743751;24.519298495169,1,2023/2/20 7:00,2023/2/20 10:00,0
56,2,118.100489;24.464669,117.68044;24.500882,1,2023/2/20 11:40,2023/2/20 14:00,0
57,2,118.164594;24.522825,117.661917;24.530747,4,2023/2/20 6:40,2023/2/20 9:30,0
58,1,118.14700856176;24.488586849473,117.643071;24.526515,3,2023/2/20 16:00,2023/2/20 18:30,0
59,2,118.09341;24.457563,117.694232;24.499381,1,2023/2/20 16:10,2023/2/20 19:30,0
60,3,118.135791;24.518396,117.64100688838;24.52798818223,1,2023/2/20 10:20,2023/2/20 12:00,0
61,2,118.112634;24.530911,117.693651;24.517527,1,2023/2/20 12:20,2023/2/20 15:10,0
62,2,118.146154;24.498824,117.667009;24.515251,4,2023/2/20 7:10,2023/2/20 10:30,0
63,1,118.147598;24.505606,117.68770540473;24.508956181341,2,2023/2/20 11:40,2023/2/20 14:20,0
64,1,118.122503;24.530575,117.668641;24.513904,1,2023/2/20 6:20,2023/2/20 8:00,0
65,3,118.134151;24.533429,117.653827;24.519197,2,2023/2/20 12:30,2023/2/20 14:20,0
66,1,118.122452;24.474705,117.639912;24.530677,1,2023/2/20 6:30,2023/2/20 9:30,0
67,2,118.138769;24.501835,117.660499;24.516339,3,2023/2/20 15:10,2023/2/20 18:00,0
68,1,118.108777;24.471554,117.68078;24.499595,2,2023/2/20 10:30,2023/2/20 12:00,0
69,2,118.183899;24.510833,117.684466;24.529476,3,2023/2/20 7:00,2023/2/20 9:30,0
70,1,118.13188712671;24.508998577128,117.684139;24.503433,2,2023/2/20 17:00,2023/2/20 20:30,0
71,2,118.130592;24.48908,117.693718;24.528485,1,2023/2/20 8:30,2023/2/20 10:40,0
72,3,118.16531318138;24.529536455908,117.717647;24.515842,3,2023/2/20 16:00,2023/2/20 18:10,0
73,2,118.087159;24.4665,117.644197;24.522187,4,2023/2/20 19:00,2023/2/20 21:20,0
74,2,118.100646;24.476298,117.677854;24.501677,1,2023/2/20 11:00,2023/2/20 14:40,0
75,4,118.11129248476;24.471905309826,117.669991;24.528661,2,2023/2/20 7:30,2023/2/20 10:20,0
76,2,118.09435300289;24.507376457581,117.64098203008;24.529200043691,2,2023/2/20 9:00,2023/2/20 11:00,0
77,2,118.120002;24.52021,117.676098;24.517359,1,2023/2/20 12:10,2023/2/20 14:10,0
78,3,118.10735258861;24.444014045579,117.682069;24.517861,2,2023/2/20 11:30,2023/2/20 14:10,0
79,2,118.122503;24.530575,117.717647;24.515842,3,2023/2/20 7:20,2023/2/20 10:20,0
80,2,118.142409;24.513711,117.63539;24.530264,2,2023/2/20 14:10,2023/2/20 17:00,0
81,1,118.180023;24.472874,117.641137;24.529225,4,2023/2/20 13:00,2023/2/20 15:00,0
82,1,118.122647;24.444612,117.679676;24.510778,2,2023/2/20 19:40,2023/2/20 22:20,0
83,4,118.186194;24.477463,117.637117;24.529246,1,2023/2/20 19:40,2023/2/20 22:00,0
84,4,118.166872;24.509339,117.67169;24.524463,4,2023/2/20 19:30,2023/2/20 22:40,0
85,3,118.101026;24.59154,117.646397;24.547079,4,2023/2/20 13:20,2023/2/20 16:00,0
86,3,118.087792;24.495099,117.754821;24.491551,1,2023/2/20 11:00,2023/2/20 14:40,0
87,3,118.086811;24.466656,117.717647;24.515842,2,2023/2/20 18:10,2023/2/20 21:00,0
88,1,118.189746;24.526978,117.728362;24.524333,1,2023/2/20 7:10,2023/2/20 9:10,0
89,1,118.153518;24.536221,117.728362;24.524333,2,2023/2/20 16:00,2023/2/20 19:20,0
90,1,118.171959;24.538366,117.720707;24.523888,1,2023/2/20 7:30,2023/2/20 10:40,0
91,3,118.14181690598;24.502282684866,117.63539;24.530264,4,2023/2/20 19:30,2023/2/20 21:10,0
92,3,118.050888;24.577268,117.63539;24.530264,4,2023/2/20 16:20,2023/2/20 18:20,0
93,4,118.138311;24.539495,117.684811;24.512424,1,2023/2/20 9:20,2023/2/20 12:30,0
94,1,118.09219074747;24.471226813803,117.637117;24.529246,1,2023/2/20 12:30,2023/2/20 15:10,0
95,4,118.124686;24.522977,117.704549;24.51671,3,2023/2/20 11:30,2023/2/20 13:10,0
96,4,118.14181690598;24.502282684866,117.740786;24.518543,3,2023/2/20 16:00,2023/2/20 19:20,0
97,3,118.098958;24.474958,117.659236;24.499268,2,2023/2/20 7:40,2023/2/20 10:30,0
98,1,118.200545;24.489846,117.64310143842;24.52368089184,1,2023/2/20 15:30,2023/2/20 17:10,0
99,1,118.133164;24.509944,117.693897;24.517636,3,2023/2/20 17:00,2023/2/20 19:40,0
100,1,118.094885;24.468485,117.63297175002;24.527466847647,2,2023/2/20 10:10,2023/2/20 13:40,0
101,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,2023/2/20 18:40,2023/2/20 21:40,1
102,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,2023/2/20 19:20,2023/2/20 21:30,1
103,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,2023/2/20 18:00,2023/2/20 20:30,1
104,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,2023/2/20 17:30,2023/2/20 20:30,1
105,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,2023/2/20 8:30,2023/2/20 11:40,1
106,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,2023/2/20 12:00,2023/2/20 14:20,1
107,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,2023/2/20 11:10,2023/2/20 14:30,1
108,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,2023/2/20 13:00,2023/2/20 16:30,1
109,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,2023/2/20 13:00,2023/2/20 16:00,1
110,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,2023/2/20 9:00,2023/2/20 12:00,1
111,2,117.75470750103207;24.299301823336656,118.35742737213843;24.6704939284426,1,2023/2/20 6:00,2023/2/20 8:00,1
112,2,117.44304319001276;24.12825764425163,118.20767079639603;24.557690373000334,1,2023/2/20 10:20,2023/2/20 12:00,1
113,3,117.46476052796791;23.945532528121213,118.01114492585258;24.785769598114584,1,2023/2/20 13:20,2023/2/20 15:40,1
114,1,117.46335603483234;23.70808734349064,118.25325420184915;24.577524933990926,2,2023/2/20 11:30,2023/2/20 14:20,1
115,1,117.78904678670095;24.09094928656882,118.04103240562112;24.63089029570196,4,2023/2/20 7:00,2023/2/20 9:30,1
116,2,117.60367634006859;23.80437791834335,118.17996591571759;24.697277653952764,4,2023/2/20 17:40,2023/2/20 19:20,1
117,1,117.71209810198854;24.188186925316252,118.03552722166994;24.66650579059484,4,2023/2/20 8:40,2023/2/20 10:20,1
118,1,117.9121942253346;24.387979143888728,118.02684665655275;24.90022145438485,1,2023/2/20 16:10,2023/2/20 19:20,1
119,1,117.5581815947885;24.313744506953146,118.13112262095866;24.887384809014193,2,2023/2/20 15:00,2023/2/20 17:00,1
120,1,117.6646722303947;25.113345386749057,117.98045379139343;24.68157561936239,4,2023/2/20 11:00,2023/2/20 14:30,1
121,1,117.57584823924273;24.81837213390699,118.2576335749422;24.570473441165536,2,2023/2/20 14:30,2023/2/20 16:00,1
122,3,117.45985108225553;23.981481727768028,118.01010873171816;24.52256982141459,2,2023/2/20 8:30,2023/2/20 11:00,1
