订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,600,730,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,450,600,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,1060,1170,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,1000,1110,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,940,1020,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,1040,1140,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,540,680,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,370,500,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,390,540,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,1020,1150,0
11,2,118.20344490476252;24.855162956113734,117.84022996569875;24.885245635923653,1,960,1110,0
12,1,118.15684461216841;24.49396521056207,117.63171011245018;24.122021633171087,1,970,1100,0
13,2,118.12972774910124;24.60444596396337,117.21626656362277;24.209519965742913,3,810,910,0
14,2,118.13532299784251;24.7353077095567,117.21328141102542;24.475716173265344,3,1030,1140,0
15,1,118.13904715591485;24.433812177313992,117.32499955988132;23.804179019522046,2,1080,1220,0
16,2,118.12496347087763;24.590164642835262,117.78121661343302;23.975666967393,2,450,560,0
17,2,118.1883001468302;24.63372177716422,117.44646982280668;23.760091512669334,4,1160,1320,0
18,2,118.27911386965891;24.548076128020913,117.40531407480394;24.339376891466593,1,480,600,0
19,2,118.20501576164627;24.77832363082514,117.45228344796011;23.99204913145444,2,900,1060,0
20,1,118.16863709339411;24.60783798896808,117.67047893990298;25.02584413385207,2,740,850,0
21,2,118.24328598744326;24.552733477964814,117.44192004433161;24.213791470110962,1,1100,1270,0
22,2,118.0154463483577;24.549216298634903,117.08638925077913;24.78132990971955,1,600,720,0
23,1,118.09217903228772;24.49673636200136,117.4560781896236;24.777150754438967,4,1110,1200,0
24,2,118.17517682538387;24.70789436649557,117.1213089795486;23.99504388245994,1,420,570,0
25,3,117.98378316076392;24.519328423918008,117.80085655169134;24.003792133395446,1,810,900,0
26,2,118.19570005643658;24.52100188969685,117.46881856231153;24.03744650196379,4,700,820,0
27,2,117.90848590152213;24.59746297889121,117.77393495356527;24.780160994131254,1,840,1020,0
28,1,118.27381014277378;24.54137566471858,117.1972981032429;24.710246599044748,4,440,560,0
29,2,118.03960441230664;24.766551877464163,117.4508718277964;24.663206687819496,2,1080,1280,0
30,1,118.08034491723403;24.831486617753388,117.01477946177836;24.277775777713472,1,540,670,0
31,2,118.2925562184966;24.64852460436853,116.95377084966519;24.27219383695491,3,1100,1210,0
32,1,118.31032177157186;24.621664977099282,117.59646610833585;25.03382363391446,4,930,1020,0
33,1,118.26891898720497;24.69676265347805,117.61053135355854;23.856531305855665,1,580,750,0
34,3,118.08588271813687;24.791554316698367,117.74645027732146;24.58639003484486,3,390,570,0
35,1,118.17877244148349;24.498939885499794,117.8728136205763;24.568081449260298,1,800,1000,0
36,2,118.26503064910737;24.65398559173792,116.97174229353922;24.42323879779118,1,940,1080,0
37,1,118.27892439038345;24.737536107963823,117.16515965555634;24.566459833307118,4,660,860,0
38,2,118.2015743482894;24.709340412729055,117.67797867136544;24.270749709181327,3,790,970,0
39,2,118.13458936483674;24.840559370466757,117.59308335843863;24.46064020321863,1,840,1020,0
40,2,118.11708226494983;24.873479772835726,117.32491475456919;24.430836090644398,1,1110,1200,0
41,2,118.05226365012442;24.615681784871654,117.52461576905178;24.638185320926695,1,1050,1240,0
42,3,117.97780042636403;24.7560818336917,117.18866540177048;23.876124195813023,4,380,580,0
43,2,118.16100270257046;24.792111908462694,117.4529742803643;24.70210280806226,2,910,1020,0
44,1,118.1153817191507;24.444513004974123,117.57772818147656;24.220957314179046,3,630,760,0
45,1,118.13363608869632;24.529039086788345,117.25484516629304;24.932614287243826,4,880,960,0
46,1,117.9776652801428;24.69542245373467,117.04999181867329;24.761725281407053,1,360,540,0
47,1,117.93674525436559;24.623365611402814,117.88790948438296;24.82266563274126,2,850,1000,0
48,1,118.33464672569784;24.617700315166907,117.37057276123484;24.552730348792306,2,700,840,0
