订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,600,730,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,450,600,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,1060,1170,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,1000,1110,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,940,1020,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,1040,1140,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,540,680,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,370,500,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,390,540,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,1020,1150,0
11,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,1120,1300,1
12,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,1160,1290,1
13,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,1080,1230,1
14,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,1050,1230,1
15,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,510,700,1
16,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,720,860,1
17,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,670,870,1
18,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,780,990,1
19,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,780,960,1
20,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,540,720,1
21,2,117.75470750103207;24.299301823336656,118.35742737213843;24.6704939284426,1,360,480,1
22,2,117.44304319001276;24.12825764425163,118.20767079639603;24.557690373000334,1,620,720,1
23,3,117.46476052796791;23.945532528121213,118.01114492585258;24.785769598114584,1,800,940,1
24,1,117.46335603483234;23.70808734349064,118.25325420184915;24.577524933990926,2,690,860,1
25,1,117.78904678670095;24.09094928656882,118.04103240562112;24.63089029570196,4,420,570,1
26,2,117.60367634006859;23.80437791834335,118.17996591571759;24.697277653952764,4,1060,1160,1
27,1,117.71209810198854;24.188186925316252,118.03552722166994;24.66650579059484,4,520,620,1
28,1,117.9121942253346;24.387979143888728,118.02684665655275;24.90022145438485,1,970,1160,1
29,1,117.5581815947885;24.313744506953146,118.13112262095866;24.887384809014193,2,900,1020,1
30,1,117.6646722303947;25.113345386749057,117.98045379139343;24.68157561936239,4,660,870,1
31,1,117.57584823924273;24.81837213390699,118.2576335749422;24.570473441165536,2,870,960,1
32,3,117.45985108225553;23.981481727768028,118.01010873171816;24.52256982141459,2,510,660,1
33,1,117.89271411026832;24.374961617673485,118.11717366649839;24.71920604093249,4,1100,1200,1
34,2,117.50934749530505;25.007309666789574,117.99117573074844;24.621686104337805,2,610,820,1
35,1,117.38285069212795;23.65282443206233,118.03659293067844;24.765431816704506,2,1140,1290,1
36,2,117.42135587317563;24.983337232180485,118.0329870636804;24.647951852065273,2,1040,1140,1
37,1,117.47530985021562;24.669888163811347,118.19715856557124;24.549886424928417,3,900,1020,1
38,2,117.1489729609275;23.738581407544018,118.18273978466647;24.58012635769914,4,800,970,1
39,3,117.97914902427267;24.231254182072036,118.23679085899407;24.825284620014948,4,780,910,1
40,2,117.2061552569025;23.76528114756197,118.10142347069328;24.667764761659317,2,920,1080,1
